Parcel_ID,LotSize,PropertyType,ZipCode,Neighborhood,Potential Use,StreetNum,StreetName,StreetSuffix,Address,Location
0800016000,2628,,02125,Roxbury,,43,E COTTAGE,ST,43 E COTTAGE ST,"(42.3212220770921, -71.0688719629382)"
0800017000,2926,,02125,Roxbury,,47,E COTTAGE,ST,47 E COTTAGE ST,"(42.3211998394272, -71.0687384928939)"
0800043000,3506,,02125,Roxbury,,,E COTTAGE,ST,E COTTAGE ST,"(42.3213740532005, -71.0696547729508)"
0800686000,1963,,02119,Roxbury,,89,GEORGE,ST,89 GEORGE ST,"(42.3257614633104, -71.0726351849443)"
0800687000,3045,,02119,Roxbury,,,GEORGE,ST,GEORGE ST,"(42.3256406328984, -71.0726602259056)"
0800689000,2030,,02119,Roxbury,,95 95A,GEORGE,ST,95 95A GEORGE ST,"(42.3255164604117, -71.0725071409263)"
0800690000,2001,,02119,Roxbury,,48,WOODWARD,AV,48 WOODWARD AV,"(42.3254822471621, -71.0727008043625)"
0800177000,2883,,02119,Roxbury,,,BURRELL,ST,BURRELL ST,"(42.322350751939, -71.072167044802)"
0802654000,4803,,02119,Roxbury,,,DUDLEY,ST,DUDLEY ST,"(42.3270461485665, -71.0769344892764)"
0802426020,7060,,02119,Roxbury,,,WASHINGTON,ST,WASHINGTON ST,"(42.3323099479509, -71.0809203768924)"
0903210000,6990,,02119,Roxbury,,34,KENILWORTH,ST,34 KENILWORTH ST,"(42.3287532187185, -71.0882075002928)"
0900427000,1886,,02118,South End,,97,W CONCORD,ST,97 W CONCORD ST,"(42.3390334495614, -71.0760838694894)"
1501814000,5388,,02125,Dorchester,,38,CLARKSON,ST,38 CLARKSON ST,"(42.3086256753644, -71.0666081268018)"
1501816000,5388,,02125,Dorchester,,30,CLARKSON,ST,30 CLARKSON ST,"(42.3088041810748, -71.0663726935011)"
1501974000,6618,,02125,Dorchester,Residential 2 Family,29 31,MT EVERETT,ST,29 31 MT EVERETT ST,"(42.3103379345161, -71.0705081806051)"
1502386000,6626,,02125,Dorchester,,20 A20B,BAKER,ST,20 A20B BAKER ST,"(42.3127160689276, -71.0709342577957)"
1501451000,4732,,02122,Dorchester,,151,HOMES,AV,151 HOMES AV,"(42.3039451263947, -71.0641446385532)"
1500843000,7647,,02122,Dorchester,,379,GENEVA,AV,379 GENEVA AV,"(42.3014282487751, -71.068574829012)"
1500611000,3310,,02122,Dorchester,,9,JOSEPHINE,ST,9 JOSEPHINE ST,"(42.3002867725879, -71.0651216666021)"
1500612000,3260,,02122,Dorchester,,11,JOSEPHINE,ST,11 JOSEPHINE ST,"(42.3003213059378, -71.0649815933863)"
1300429000,2600,,02125,Roxbury,,7,BROOKFORD,ST,7 BROOKFORD ST,"(42.3182098072206, -71.077110987834)"
1300430000,2275,,02119,Roxbury,,1,RANDLETT,PL,1 RANDLETT PL,"(42.3180542869188, -71.0771570940024)"
1001136000,3804,,02120,Jamaica Plain,,,PARKER,ST,PARKER ST,"(42.3284767840648, -71.0993348467678)"
1001137000,3448,,02120,Jamaica Plain,,,PARKER,ST,PARKER ST,"(42.3283874871509, -71.0994008918833)"
0903767000,0,,02119,Roxbury,,3,JUNIPER,TE,3 JUNIPER TE,"(42.3251831819783, -71.0883229144733)"
0903768000,1334,,02119,Roxbury,,2,JUNIPER,TE,2 JUNIPER TE,"(42.3252470568091, -71.0883133425899)"
1000981000,4350,,02120,Jamaica Plain,,,SACHEM,ST,SACHEM ST,"(42.3309871260374, -71.1077893654745)"
0903770000,1052,,02119,Roxbury,,2613,WASHINGTON,ST,2613 WASHINGTON ST,"(42.325315106266, -71.0882120494341)"
0903261000,2904,,02119,Roxbury,,120 122,ROXBURY,ST,120 122 ROXBURY ST,"(42.3302744298237, -71.0882890191423)"
